at,name,state,sync,byte_lag,replay_s
22075.584176833,follower1,streaming,async,176.0,3.4e-05
22075.837332791,follower1,streaming,async,176.0,4.1e-05
22076.091367125,follower1,streaming,async,176.0,0.000173
22076.345650166,follower1,streaming,async,176.0,3e-05
22076.5998315,follower1,streaming,async,176.0,0.000144
22076.850542125,follower1,streaming,async,176.0,3.7e-05
22077.101226666,follower1,streaming,async,0.0,0.000174
22077.351467,follower1,streaming,async,176.0,0.000162
22077.605633833,follower1,streaming,async,176.0,0.000104
22077.859824333,follower1,streaming,async,200.0,3.9e-05
22078.114414375,follower1,streaming,async,176.0,7.9e-05
22078.368980791,follower1,streaming,async,0.0,0.000235
22078.623454625,follower1,streaming,async,176.0,0.000301
22078.878069541,follower1,streaming,async,0.0,0.000307
22079.1326945,follower1,streaming,async,176.0,0.000153
22079.38740925,follower1,streaming,async,176.0,0.00026
22079.642117458,follower1,streaming,async,176.0,0.000197
22079.896718,follower1,streaming,async,176.0,0.000135
22080.150805583,follower1,streaming,async,0.0,0.000156
22080.402300333,follower1,streaming,async,176.0,0.000139
22080.6545305,follower1,streaming,async,176.0,0.000182
22080.908581875,follower1,streaming,async,176.0,0.000288
22081.159107833,follower1,streaming,async,176.0,0.000178
22081.409306291,follower1,streaming,async,176.0,0.00016
22081.660425,follower1,streaming,async,0.0,0.000189
22081.910662625,follower1,streaming,async,176.0,0.000146
22082.163562458,follower1,streaming,async,176.0,0.000233
22082.417622541,follower1,streaming,async,176.0,0.000112
22082.672125833,follower1,streaming,async,176.0,0.00016
22082.923179541,follower1,streaming,async,200.0,6.2e-05
22083.17368975,follower1,streaming,async,176.0,0.00016
22083.424044041,follower1,streaming,async,176.0,0.000265
22083.67894,follower1,streaming,async,0.0,0.00048
22083.933359,follower1,streaming,async,176.0,0.000202
22084.183857041,follower1,streaming,async,176.0,0.000152
22084.434170708,follower1,streaming,async,176.0,0.000304
22084.434170708,pg_basebackup,backup,async,-1.0,-1.0
22084.685655291,follower1,streaming,async,176.0,0.000154
22084.685655291,pg_basebackup,backup,async,-1.0,-1.0
22084.936037708,follower1,streaming,async,176.0,3.6e-05
22084.936037708,pg_basebackup,backup,async,-1.0,-1.0
22085.187517583,follower1,streaming,async,352.0,3.3e-05
22085.187517583,pg_basebackup,backup,async,-1.0,-1.0
22085.438085333,follower1,streaming,async,176.0,0.000149
22085.438085333,pg_basebackup,backup,async,-1.0,-1.0
22085.688489833,follower1,streaming,async,176.0,0.000149
22085.688489833,pg_basebackup,backup,async,-1.0,-1.0
22085.939645625,follower1,streaming,async,0.0,0.000164
22085.939645625,pg_basebackup,backup,async,-1.0,-1.0
22086.189934625,follower1,streaming,async,0.0,0.000154
22086.189934625,pg_basebackup,backup,async,-1.0,-1.0
22086.442019208,follower1,streaming,async,176.0,0.000147
22086.442019208,pg_basebackup,backup,async,-1.0,-1.0
22086.692585125,follower1,streaming,async,176.0,0.000168
22086.692585125,pg_basebackup,backup,async,-1.0,-1.0
22086.945449375,follower1,streaming,async,176.0,4.9e-05
22086.945449375,pg_basebackup,backup,async,-1.0,-1.0
22087.200087166,follower1,streaming,async,176.0,0.000213
22087.200087166,pg_basebackup,backup,async,-1.0,-1.0
22087.455020083,follower1,streaming,async,176.0,7.3e-05
22087.455020083,pg_basebackup,backup,async,-1.0,-1.0
22087.7054085,follower1,streaming,async,176.0,0.000152
22087.7054085,pg_basebackup,backup,async,-1.0,-1.0
22087.955838583,follower1,streaming,async,176.0,0.000172
22087.955838583,pg_basebackup,backup,async,-1.0,-1.0
22088.206613583,follower1,streaming,async,0.0,0.000134
22088.206613583,pg_basebackup,backup,async,-1.0,-1.0
22088.460614416,follower1,streaming,async,0.0,0.000187
22088.460614416,pg_basebackup,backup,async,-1.0,-1.0
22088.714986,follower1,streaming,async,176.0,7.5e-05
22088.714986,pg_basebackup,backup,async,-1.0,-1.0
22088.965436208,follower1,streaming,async,176.0,0.000138
22088.965436208,pg_basebackup,backup,async,-1.0,-1.0
22089.218775125,follower1,streaming,async,176.0,0.000178
22089.218775125,pg_basebackup,backup,async,-1.0,-1.0
22089.472590166,follower1,streaming,async,176.0,0.00037
22089.472590166,pg_basebackup,backup,async,-1.0,-1.0
22089.727753,follower1,streaming,async,176.0,0.000172
22089.727753,pg_basebackup,backup,async,-1.0,-1.0
22089.982250166,follower1,streaming,async,200.0,0.00055
22089.982250166,pg_basebackup,backup,async,-1.0,-1.0
22090.23318275,follower1,streaming,async,176.0,0.000217
22090.23318275,pg_basebackup,backup,async,-1.0,-1.0
22090.48650025,follower1,streaming,async,176.0,0.000145
22090.48650025,pg_basebackup,backup,async,-1.0,-1.0
22090.739804125,follower1,streaming,async,280.0,0.000306
22090.739804125,pg_basebackup,backup,async,-1.0,-1.0
22090.993866083,follower1,streaming,async,176.0,0.000213
22090.993866083,pg_basebackup,backup,async,-1.0,-1.0
22091.248384625,follower1,streaming,async,352.0,0.000339
22091.248384625,pg_basebackup,backup,async,-1.0,-1.0
22091.502974166,follower1,streaming,async,176.0,0.00021
22091.502974166,pg_basebackup,backup,async,-1.0,-1.0
22091.7577005,follower1,streaming,async,176.0,0.000221
22091.7577005,pg_basebackup,backup,async,-1.0,-1.0
22092.008154833,follower1,streaming,async,0.0,0.000155
22092.008154833,pg_basebackup,backup,async,-1.0,-1.0
22092.260560291,follower1,streaming,async,352.0,0.000203
22092.260560291,pg_basebackup,backup,async,-1.0,-1.0
22092.515078708,follower1,streaming,async,176.0,0.000158
22092.515078708,pg_basebackup,backup,async,-1.0,-1.0
22092.769614208,follower1,streaming,async,176.0,0.000179
22092.769614208,pg_basebackup,backup,async,-1.0,-1.0
22093.02469475,follower1,streaming,async,352.0,0.000145
22093.02469475,pg_basebackup,backup,async,-1.0,-1.0
22093.275069416,follower1,streaming,async,0.0,0.000165
22093.275069416,pg_basebackup,backup,async,-1.0,-1.0
22093.527088291,follower1,streaming,async,176.0,0.000443
22093.527088291,pg_basebackup,backup,async,-1.0,-1.0
22093.780566458,follower1,streaming,async,176.0,0.000182
22093.780566458,pg_basebackup,backup,async,-1.0,-1.0
22094.030961541,follower1,streaming,async,176.0,0.000207
22094.030961541,pg_basebackup,backup,async,-1.0,-1.0
22094.285327875,follower1,streaming,async,176.0,9.5e-05
22094.285327875,pg_basebackup,backup,async,-1.0,-1.0
22094.540330833,follower1,streaming,async,176.0,2.9e-05
22094.540330833,pg_basebackup,backup,async,-1.0,-1.0
22094.790578125,follower1,streaming,async,176.0,3.3e-05
22094.790578125,pg_basebackup,backup,async,-1.0,-1.0
22095.045490208,follower1,streaming,async,176.0,2.8e-05
22095.045490208,pg_basebackup,backup,async,-1.0,-1.0
22095.29728475,follower1,streaming,async,176.0,3.5e-05
22095.29728475,pg_basebackup,backup,async,-1.0,-1.0
22095.547499083,follower1,streaming,async,176.0,4e-05
22095.547499083,pg_basebackup,backup,async,-1.0,-1.0
22095.798012833,follower1,streaming,async,200.0,0.000138
22095.798012833,pg_basebackup,backup,async,-1.0,-1.0
22096.049116958,follower1,streaming,async,176.0,0.000329
22096.049116958,pg_basebackup,backup,async,-1.0,-1.0
22096.302163041,follower1,streaming,async,176.0,4.4e-05
22096.302163041,pg_basebackup,backup,async,-1.0,-1.0
22096.55240875,follower1,streaming,async,176.0,3.5e-05
22096.55240875,pg_basebackup,backup,async,-1.0,-1.0
22096.8031845,follower1,streaming,async,176.0,9.6e-05
22096.8031845,pg_basebackup,backup,async,-1.0,-1.0
22097.055099166,follower1,streaming,async,352.0,0.000136
22097.055099166,pg_basebackup,backup,async,-1.0,-1.0
22097.305907333,follower1,streaming,async,176.0,0.000133
22097.305907333,pg_basebackup,backup,async,-1.0,-1.0
22097.55772375,follower1,streaming,async,0.0,0.000256
22097.55772375,pg_basebackup,backup,async,-1.0,-1.0
22097.812365041,follower1,streaming,async,176.0,0.000254
22097.812365041,pg_basebackup,backup,async,-1.0,-1.0
22098.066963125,follower1,streaming,async,176.0,3.8e-05
22098.066963125,pg_basebackup,backup,async,-1.0,-1.0
22098.317878,follower1,streaming,async,200.0,3.7e-05
22098.317878,pg_basebackup,backup,async,-1.0,-1.0
22098.570159083,follower1,streaming,async,0.0,0.000189
22098.570159083,pg_basebackup,backup,async,-1.0,-1.0
22098.825172333,follower1,streaming,async,176.0,5.9e-05
22098.825172333,pg_basebackup,backup,async,-1.0,-1.0
22099.079883416,follower1,streaming,async,0.0,0.000156
22099.079883416,pg_basebackup,backup,async,-1.0,-1.0
22099.333898625,follower1,streaming,async,176.0,0.000134
22099.333898625,pg_basebackup,backup,async,-1.0,-1.0
22099.588208166,follower1,streaming,async,176.0,0.000128
22099.588208166,pg_basebackup,backup,async,-1.0,-1.0
22099.842703916,follower1,streaming,async,176.0,0.000122
22099.842703916,pg_basebackup,backup,async,-1.0,-1.0
22100.097369166,follower1,streaming,async,0.0,0.000355
22100.097369166,pg_basebackup,backup,async,-1.0,-1.0
22100.352344083,follower1,streaming,async,176.0,0.000202
22100.352344083,pg_basebackup,backup,async,-1.0,-1.0
22100.602704666,follower1,streaming,async,176.0,0.000177
22100.602704666,pg_basebackup,backup,async,-1.0,-1.0
22100.854923166,follower1,streaming,async,176.0,0.000151
22100.854923166,pg_basebackup,backup,async,-1.0,-1.0
22101.109462458,follower1,streaming,async,0.0,0.000164
22101.109462458,pg_basebackup,backup,async,-1.0,-1.0
22101.359772291,follower1,streaming,async,176.0,0.000149
22101.359772291,pg_basebackup,backup,async,-1.0,-1.0
22101.613802666,follower1,streaming,async,176.0,3.9e-05
22101.613802666,pg_basebackup,backup,async,-1.0,-1.0
22101.867500958,follower1,streaming,async,176.0,0.000252
22101.867500958,pg_basebackup,backup,async,-1.0,-1.0
22102.117849416,follower1,streaming,async,176.0,0.000156
22102.117849416,pg_basebackup,backup,async,-1.0,-1.0
22102.368219208,follower1,streaming,async,176.0,0.000175
22102.368219208,pg_basebackup,backup,async,-1.0,-1.0
22102.618541416,follower1,streaming,async,176.0,3.6e-05
22102.618541416,pg_basebackup,backup,async,-1.0,-1.0
22102.873976125,follower1,streaming,async,176.0,3.8e-05
22102.873976125,pg_basebackup,backup,async,-1.0,-1.0
22103.127777958,follower1,streaming,async,352.0,2.7e-05
22103.127777958,pg_basebackup,backup,async,-1.0,-1.0
22103.378294875,follower1,streaming,async,176.0,0.000153
22103.378294875,pg_basebackup,backup,async,-1.0,-1.0
22103.630850208,follower1,streaming,async,176.0,0.000107
22103.630850208,pg_basebackup,backup,async,-1.0,-1.0
22103.881554041,follower1,streaming,async,176.0,3.7e-05
22103.881554041,pg_basebackup,backup,async,-1.0,-1.0
22104.13226775,follower1,streaming,async,176.0,0.000157
22104.13226775,pg_basebackup,backup,async,-1.0,-1.0
22104.383559666,follower1,streaming,async,176.0,0.000189
22104.383559666,pg_basebackup,backup,async,-1.0,-1.0
22104.633935791,follower1,streaming,async,176.0,0.000161
22104.633935791,pg_basebackup,backup,async,-1.0,-1.0
22104.886280041,follower1,streaming,async,176.0,5e-05
22104.886280041,pg_basebackup,backup,async,-1.0,-1.0
22105.138201708,follower1,streaming,async,176.0,0.00016
22105.138201708,pg_basebackup,backup,async,-1.0,-1.0
22105.388478458,follower1,streaming,async,176.0,0.000308
22105.388478458,pg_basebackup,backup,async,-1.0,-1.0
22105.639058,follower1,streaming,async,0.0,0.00016
22105.639058,pg_basebackup,backup,async,-1.0,-1.0
22105.892242083,follower1,streaming,async,200.0,0.000336
22105.892242083,pg_basebackup,backup,async,-1.0,-1.0
22106.142531916,follower1,streaming,async,176.0,0.000161
22106.142531916,pg_basebackup,backup,async,-1.0,-1.0
22106.393190958,follower1,streaming,async,176.0,0.00016
