at,name,state,sync,byte_lag,replay_s
38193.508070708,follower1,streaming,async,376.0,0.000148
38193.508070708,follower2,streaming,async,376.0,0.000131
38193.559098291,follower1,streaming,async,176.0,6.8e-05
38193.559098291,follower2,streaming,async,176.0,4.8e-05
38193.610320791,follower1,streaming,async,176.0,9.4e-05
38193.610320791,follower2,streaming,async,176.0,5.6e-05
38193.664641583,follower1,streaming,async,0.0,0.000197
38193.664641583,follower2,streaming,async,176.0,0.000244
38193.715305333,follower1,streaming,async,176.0,3.8e-05
38193.715305333,follower2,streaming,async,176.0,4.3e-05
38193.767096166,follower1,streaming,async,176.0,4.3e-05
38193.767096166,follower2,streaming,async,176.0,0.000419
38193.82286,follower1,streaming,async,176.0,0.000173
38193.82286,follower2,streaming,async,176.0,6.9e-05
38193.873090208,follower1,streaming,async,176.0,0.000208
38193.873090208,follower2,streaming,async,176.0,0.000233
38193.924611208,follower1,streaming,async,352.0,9.5e-05
38193.924611208,follower2,streaming,async,176.0,0.000317
38193.9749885,follower1,streaming,async,176.0,0.000168
38193.9749885,follower2,streaming,async,176.0,5.5e-05
38194.025671416,follower1,streaming,async,176.0,4.1e-05
38194.025671416,follower2,streaming,async,176.0,0.000172
38194.076228875,follower1,streaming,async,176.0,8.3e-05
38194.076228875,follower2,streaming,async,176.0,0.000107
38194.1305905,follower1,streaming,async,280.0,0.000366
38194.1305905,follower2,streaming,async,280.0,0.000392
38194.185381166,follower1,streaming,async,176.0,0.000499
38194.185381166,follower2,streaming,async,376.0,0.000495
38194.239210833,follower1,streaming,async,0.0,0.000343
38194.239210833,follower2,streaming,async,176.0,0.000373
38194.293889291,follower1,streaming,async,176.0,0.000424
38194.293889291,follower2,streaming,async,176.0,0.000464
38194.348275083,follower1,streaming,async,176.0,4.2e-05
38194.348275083,follower2,streaming,async,176.0,6.8e-05
38194.402911083,follower1,streaming,async,176.0,9.7e-05
38194.402911083,follower2,streaming,async,176.0,0.00049
38194.457402458,follower1,streaming,async,176.0,0.000378
38194.457402458,follower2,streaming,async,176.0,0.000583
38194.512157416,follower1,streaming,async,0.0,0.000216
38194.512157416,follower2,streaming,async,176.0,0.000232
38194.567566458,follower1,streaming,async,176.0,0.000197
38194.567566458,follower2,streaming,async,176.0,0.00022
38194.621503625,follower1,streaming,async,176.0,6.3e-05
38194.621503625,follower2,streaming,async,176.0,6.4e-05
38194.672193916,follower1,streaming,async,280.0,0.000376
38194.672193916,follower2,streaming,async,280.0,0.000374
38194.724150416,follower1,streaming,async,176.0,4e-05
38194.724150416,follower2,streaming,async,176.0,0.000181
38194.778610666,follower1,streaming,async,0.0,0.000307
38194.778610666,follower2,streaming,async,0.0,0.000355
38194.83330775,follower1,streaming,async,200.0,5.1e-05
38194.83330775,follower2,streaming,async,200.0,5.3e-05
